,sqlite,postgresql,duckdb,arithmetic_mean
DROP AGGREGATE,0.0,0.00046262279914006585,0.0,0.0001542075997133553
DROP PROCEDURE,0.0,0.00046262279914006585,0.0,0.0001542075997133553
ALTER AGGREGATE,0.0,0.00043540969330829727,0.0,0.0001451365644360991
ALTER STATISTICS,0.0,0.00043540969330829727,0.0,0.0001451365644360991
DROP OWNED,0.0,0.00043540969330829727,0.0,0.0001451365644360991
:INIT_RANGE_PARTED,0.0,0.0004081965874765287,0.0,0.0001360655291588429
:SHOW_DATA,0.0,0.0003809834816447601,0.0,0.0001269944938815867
DEALLOCATE,0.0,0.0003809834816447601,0.00032545903284424073,0.00023548083816300028
DROP EVENT,0.0,0.0003809834816447601,0.0,0.0001269944938815867
DROP TEXT,0.0,0.0003809834816447601,0.0,0.0001269944938815867
(SELECT,0.0,0.00035377037581299156,0.0005966748935477747,0.00031681508978692206
ALTER USER,0.0,0.00035377037581299156,0.0,0.00011792345860433053
CREATE UNLOGGED,0.0,0.00035377037581299156,0.0,0.00011792345860433053
DROP MATERIALIZED,0.0,0.00035377037581299156,0.0,0.00011792345860433053
ALTER CONVERSION,0.0,0.000326557269981223,0.0,0.00010885242332707433
DROP SUBSCRIPTION,0.0,0.000326557269981223,0.0,0.00010885242332707433
DROP COLLATION,0.0,0.0002721310583176858,0.0,9.071035277256194e-05
ALTER EVENT,0.0,0.0002449179524859172,0.0,8.163931749530574e-05
DROP CAST,0.0,0.0002449179524859172,0.0,8.163931749530574e-05
CREATE OR REPLACE TEMP,0.0,0.0002449179524859172,0.0,8.163931749530574e-05
ALTER LANGUAGE,0.0,0.00021770484665414863,0.0,7.256828221804955e-05
ALTER MATERIALIZED,0.0,0.00021770484665414863,0.0,7.256828221804955e-05
ALTER DEFAULT,0.0,0.00021770484665414863,0.0,7.256828221804955e-05
CREATE CONVERSION,0.0,0.00021770484665414863,0.0,7.256828221804955e-05
SECURITY,0.0,0.00021770484665414863,0.0,7.256828221804955e-05
MOVE,0.0,0.00019049174082238005,0.0,6.349724694079335e-05
CREATE ACCESS,0.0,0.00019049174082238005,0.0,6.349724694079335e-05
ALTER COLLATION,0.0,0.00019049174082238005,0.0,6.349724694079335e-05
DROP CONVERSION,0.0,0.0001632786349906115,0.0,5.4426211663537165e-05
DROP ACCESS,0.0,0.0001632786349906115,0.0,5.4426211663537165e-05
ALTER TABLESPACE,0.0,0.0001632786349906115,0.0,5.4426211663537165e-05
CREATE TABLESPACE,0.0,0.0001632786349906115,0.0,5.4426211663537165e-05
CREATE OR REPLACE RULE,0.0,0.0001360655291588429,0.0,4.535517638628097e-05
DROP GROUP,0.0,0.0001360655291588429,0.0,4.535517638628097e-05
SELECT(SELECT,0.0,0.0001360655291588429,0.0,4.535517638628097e-05
REASSIGN,0.0,0.0001360655291588429,0.0,4.535517638628097e-05
RELEASE,0.0,0.0001360655291588429,0.0,4.535517638628097e-05
CREATE OR REPLACE AGGREGATE,0.0,0.0001360655291588429,0.0,4.535517638628097e-05
DROP DATABASE,0.0,0.00010885242332707432,2.7121586070353394e-05,4.532466979914257e-05
DROP LANGUAGE,0.0,0.00010885242332707432,0.0,3.6284141109024774e-05
CREATE GROUP,0.0,0.00010885242332707432,0.0,3.6284141109024774e-05
ALTER SCHEMA,0.0,0.00010885242332707432,2.7121586070353394e-05,4.532466979914257e-05
ALTER ROUTINE,0.0,0.00010885242332707432,0.0,3.6284141109024774e-05
DROP TABLESPACE,0.0,0.00010885242332707432,0.0,3.6284141109024774e-05
DISCARD,0.0,0.00010885242332707432,0.0,3.6284141109024774e-05
IMPORT,0.0,0.00010885242332707432,0.0005153101353367145,0.00020805418622126296
START,0.0,8.163931749530574e-05,0.0007051612378291882,0.0002622668517748313
DROP ROUTINE,0.0,8.163931749530574e-05,0.0,2.7213105831768582e-05
ALTER PROCEDURE,0.0,8.163931749530574e-05,0.0,2.7213105831768582e-05
ABORT,0.0,8.163931749530574e-05,0.0,2.7213105831768582e-05
ALTER GROUP,0.0,8.163931749530574e-05,0.0,2.7213105831768582e-05
CREATE DEFAULT,0.0,5.442621166353716e-05,0.0,1.8142070554512387e-05
UNLISTEN,0.0,5.442621166353716e-05,0.0,1.8142070554512387e-05
VALUES,0.0,5.442621166353716e-05,8.136475821106018e-05,4.5263656624865785e-05
CREATE  ,0.0,5.442621166353716e-05,0.0003797022049849475,0.00014470947221616157
(((SELECT,0.0,5.442621166353716e-05,0.0,1.8142070554512387e-05
CHECKPOINT,0.0,5.442621166353716e-05,0.005342952455859619,0.0017991262225077187
CREATE CONSTRAINT,0.0,5.442621166353716e-05,0.0,1.8142070554512387e-05
*,0.0,5.442621166353716e-05,0.0,1.8142070554512387e-05
:QRY,0.0,5.442621166353716e-05,0.0,1.8142070554512387e-05
LOAD,0.0,5.442621166353716e-05,0.0003797022049849475,0.00014470947221616157
CREATE OR REPLACE PROCEDURE,0.0,5.442621166353716e-05,0.0,1.8142070554512387e-05
CREATE LANGUAGE,0.0,5.442621166353716e-05,0.0,1.8142070554512387e-05
LISTEN,0.0,5.442621166353716e-05,0.0,1.8142070554512387e-05
DROP REWRITE,0.0,2.721310583176858e-05,0.0,9.071035277256194e-06
DROP INSTANCE,0.0,2.721310583176858e-05,0.0,9.071035277256194e-06
DROP TUPLE,0.0,2.721310583176858e-05,0.0,9.071035277256194e-06
XXX,0.0,2.721310583176858e-05,0.0,9.071035277256194e-06
CREATE FOO,0.0,2.721310583176858e-05,0.0,9.071035277256194e-06
"VALUES(1,",0.0,2.721310583176858e-05,0.0,9.071035277256194e-06
DROP EXTENSION,0.0,2.721310583176858e-05,0.0,9.071035277256194e-06
DROP EXTENSION TEST_EXTENSION_EXISTS,0.0,2.721310583176858e-05,0.0,9.071035277256194e-06
BOGUS,0.0,2.721310583176858e-05,0.0,9.071035277256194e-06
CREATE TRANSFORM,0.0,2.721310583176858e-05,0.0,9.071035277256194e-06
ALTER TRIGGER,0.0,2.721310583176858e-05,0.0,9.071035277256194e-06
ALTER DATABASE,0.0,2.721310583176858e-05,0.0,9.071035277256194e-06
ALTER LARGE,0.0,2.721310583176858e-05,0.0,9.071035277256194e-06
1,0.0,2.721310583176858e-05,0.0,9.071035277256194e-06
CREATE RECURSIVE,0.0,2.721310583176858e-05,0.0,9.071035277256194e-06
CREATE DATABASE,0.0,2.721310583176858e-05,5.424317214070679e-05,2.715209265749179e-05
NOTIFY,0.0,2.721310583176858e-05,0.0,9.071035277256194e-06
((SELECT,0.0,2.721310583176858e-05,0.0,9.071035277256194e-06
A,0.0,2.721310583176858e-05,0.0,9.071035277256194e-06
C,0.0,2.721310583176858e-05,0.0,9.071035277256194e-06
CREATE OR REPLACE RECURSIVE,0.0,2.721310583176858e-05,0.0,9.071035277256194e-06
(((((SELECT,0.0,2.721310583176858e-05,0.0,9.071035277256194e-06
PRAGMA,0.0,0.0,0.06994657047544141,0.023315523491813803
CREATE MACRO,0.0,0.0,0.003715657291638415,0.0012385524305461384
FROM,0.0,0.0,0.0024409427463318056,0.0008136475821106018
ATTACH,0.0,0.0,0.0018985110249247377,0.0006328370083082459
CREATE OR REPLACE TABLE,0.0,0.0,0.0018713894388543843,0.0006237964796181281
PIVOT,0.0,0.0,0.001383200889588023,0.0004610669631960077
USE,0.0,0.0,0.0005695533074774213,0.00018985110249247379
EXPORT,0.0,0.0,0.0005424317214070679,0.00018081057380235597
DETACH,0.0,0.0,0.0005424317214070679,0.00018081057380235597
DESCRIBE,0.0,0.0,0.0004881885492663611,0.00016272951642212036
DROP MACRO,0.0,0.0,0.0003797022049849475,0.00012656740166164918
DROP $,0.0,0.0,0.00029833744677388734,9.944581559129577e-05
UNPIVOT,0.0,0.0,0.00029833744677388734,9.944581559129577e-05
CREATE $,0.0,0.0,0.00029833744677388734,9.944581559129577e-05
CREATE OR REPLACE TEMPORARY,0.0,0.0,0.00021697268856282715,7.232422952094238e-05
SUMMARIZE,0.0,0.0,0.00021697268856282715,7.232422952094238e-05
SELECTL,0.0,0.0,0.00018985110249247376,6.328370083082459e-05
$,0.0,0.0,0.00016272951642212036,5.424317214070679e-05
SELEC,0.0,0.0,0.00016272951642212036,5.424317214070679e-05
INSTALL,0.0,0.0,0.00016272951642212036,5.424317214070679e-05
SELECT$,0.0,0.0,0.00013560793035176697,4.520264345058899e-05
FORCE,0.0,0.0,8.136475821106018e-05,2.7121586070353394e-05
QUACK,0.0,0.0,8.136475821106018e-05,2.7121586070353394e-05
CREATE OR REPLACE SEQUENCE,0.0,0.0,5.424317214070679e-05,1.8081057380235595e-05
CANNOT,0.0,0.0,5.424317214070679e-05,1.8081057380235595e-05
CREATE OR REPLACE MACRO,0.0,0.0,5.424317214070679e-05,1.8081057380235595e-05
STATEMENT,0.0,0.0,5.424317214070679e-05,1.8081057380235595e-05
